seed,target_deterministic_share,lexical_variation,paired_diff_point,paired_diff_ci_low,paired_diff_ci_high,empirical_winner,bootstrap_resamples,bootstrap_alpha,delta
31015,0.5,True,-0.1293302540415705,-0.14411085450346417,-0.11454965357967661,retrieval,2000,0.05,0.02
31016,0.5,True,-0.1552083333333334,-0.1713541666666667,-0.13750000000000007,retrieval,2000,0.05,0.02
31017,0.5,True,-0.20800000000000007,-0.22830769230769232,-0.1876923076923077,retrieval,2000,0.05,0.02
31018,0.5,True,-0.12923076923076915,-0.14564102564102555,-0.11435897435897435,retrieval,2000,0.05,0.02
31019,0.5,True,-0.1641337386018238,-0.18389057750759885,-0.1413373860182371,retrieval,2000,0.05,0.02
31020,0.5,True,-0.16011860637509268,-0.1808747220163084,-0.13936249073387696,retrieval,2000,0.05,0.02
31001,0.75,False,0.0034791252485089075,0.0009940357852882276,0.006461232604373812,tie,2000,0.05,0.02
31002,0.75,False,0.005617977528089901,0.001404494382022503,0.010533707865168496,tie,2000,0.05,0.02
31003,0.75,False,0.002561912894961549,0.000284656988329135,0.00455451181326505,tie,2000,0.05,0.02
31004,0.75,False,0.007965242577842147,0.0014482259232440065,0.014482259232440287,tie,2000,0.05,0.02
31005,0.75,False,0.006362672322375418,0.002651113467656452,0.010604453870625585,tie,2000,0.05,0.02
31006,0.75,False,0.003399915002124887,-0.0004249893752655831,0.007224819379515468,tie,2000,0.05,0.02
31007,0.75,False,0.005245588936576118,0.0014306151645206988,0.009060562708631426,tie,2000,0.05,0.02
31008,0.75,False,0.00848484848484854,0.004242424242424159,0.013333333333333308,tie,2000,0.05,0.02
31009,0.75,False,0.004860804242156402,0.0017675651789659241,0.008395934600088362,tie,2000,0.05,0.02
31010,0.75,False,0.004350528278433852,0.0006215040397762328,0.008701056556867592,tie,2000,0.05,0.02
31011,0.75,False,0.004044489383215333,0.0005055611729019027,0.008088978766430777,tie,2000,0.05,0.02
31012,0.75,False,0.010948905109489093,0.005109489051094873,0.016788321167883202,tie,2000,0.05,0.02
31013,0.75,False,0.0009074410163338875,-0.0013611615245009423,0.0031760435571687173,tie,2000,0.05,0.02
31014,0.75,False,0.015374759769378632,0.009609224855861576,0.022421524663677084,tie,2000,0.05,0.02
31015,0.75,False,0.007166482910694549,0.0022050716648291946,0.012127894156560126,tie,2000,0.05,0.02
31016,0.75,False,0.0033840947546531774,0.0004230118443316888,0.006345177664974666,tie,2000,0.05,0.02
31017,0.75,False,0.002248875562218977,-0.00037481259370319986,0.005247376311844132,tie,2000,0.05,0.02
31018,0.75,False,0.004589069670421275,0.0020859407592824786,0.007509386733416834,tie,2000,0.05,0.02
31019,0.75,False,0.0044031311154598685,0.0009784735812132794,0.007827788649706457,tie,2000,0.05,0.02
31020,0.75,False,0.003989361702127714,-0.0019946808510638014,0.00997340425531923,tie,2000,0.05,0.02
31001,0.75,True,-0.20228628230616297,-0.22117296222664007,-0.18339960238568598,retrieval,2000,0.05,0.02
31002,0.75,True,-0.1587078651685393,-0.1783707865168539,-0.1383426966292135,retrieval,2000,0.05,0.02
31003,0.75,True,-0.17278679191574153,-0.18531169940222036,-0.1602618844292627,retrieval,2000,0.05,0.02
31004,0.75,True,-0.17523533671252722,-0.19695872556118754,-0.1535119478638668,retrieval,2000,0.05,0.02
31005,0.75,True,-0.15800636267232238,-0.1755037115588547,-0.14156945917285257,retrieval,2000,0.05,0.02
31006,0.75,True,-0.145771355716107,-0.16234594135146618,-0.13089672758181048,retrieval,2000,0.05,0.02
31007,0.75,True,-0.1692894611349547,-0.18645684310920363,-0.15259895088221265,retrieval,2000,0.05,0.02
31008,0.75,True,-0.16969696969696968,-0.18848484848484848,-0.14969696969696966,retrieval,2000,0.05,0.02
31009,0.75,True,-0.1873619089703933,-0.20371188687582853,-0.1696862571807336,retrieval,2000,0.05,0.02
31010,0.75,True,-0.18582970789310127,-0.20633934120571784,-0.1671845866998135,retrieval,2000,0.05,0.02
31011,0.75,True,-0.1769464105156724,-0.19514661274014156,-0.15925176946410524,retrieval,2000,0.05,0.02
31012,0.75,True,-0.16277372262773715,-0.18467153284671534,-0.14160583941605842,retrieval,2000,0.05,0.02
31013,0.75,True,-0.17967332123411972,-0.1960072595281307,-0.16333938294010886,retrieval,2000,0.05,0.02
31014,0.75,True,-0.20499679692504813,-0.2267777065983344,-0.18385650224215255,retrieval,2000,0.05,0.02
31015,0.75,True,-0.16648291069459753,-0.1846747519294376,-0.14718853362734285,retrieval,2000,0.05,0.02
31016,0.75,True,-0.16412859560067683,-0.17893401015228427,-0.14847715736040612,retrieval,2000,0.05,0.02
31017,0.75,True,-0.15329835082458765,-0.16791604197901056,-0.13980509745127434,retrieval,2000,0.05,0.02
31018,0.75,True,-0.18147684605757197,-0.19774718397997504,-0.16562369628702545,retrieval,2000,0.05,0.02
31019,0.75,True,-0.17221135029354206,-0.1903131115459883,-0.15557729941291587,retrieval,2000,0.05,0.02
31020,0.75,True,-0.1894946808510638,-0.21077127659574468,-0.16954787234042545,retrieval,2000,0.05,0.02
31001,1.0,False,0.008076358296622677,0.002936857562408246,0.013950073421439058,tie,2000,0.05,0.02
31002,1.0,False,0.00570450656018251,0.0017113519680548306,0.01026811180832854,tie,2000,0.05,0.02
31003,1.0,False,0.009478672985781977,0.004739336492891044,0.014810426540284305,tie,2000,0.05,0.02
31004,1.0,False,0.011252813203300849,0.005251312828207122,0.01800450112528129,tie,2000,0.05,0.02
31005,1.0,False,0.01276276276276278,0.006006006006005982,0.020270270270270285,tie,2000,0.05,0.02
31006,1.0,False,0.005668934240362855,0.00170068027210879,0.010204081632653073,tie,2000,0.05,0.02
31007,1.0,False,0.0075625363583479155,0.002908667830133882,0.012798138452588703,tie,2000,0.05,0.02
31008,1.0,False,0.00303030303030305,-0.00242424242424244,0.008484848484848428,tie,2000,0.05,0.02
31009,1.0,False,0.005061460592914013,-0.002169197396963085,0.012292118582791,tie,2000,0.05,0.02
31010,1.0,False,0.0026469031233457008,-0.001058761249338236,0.006881948120698755,tie,2000,0.05,0.02
31011,1.0,False,0.00379506641366234,0.0004743833017077925,0.007115749525616777,tie,2000,0.05,0.02
31012,1.0,False,0.011560693641618491,0.005057803468208055,0.018063583815028927,tie,2000,0.05,0.02
31013,1.0,False,0.006012024048096198,0.0013360053440213404,0.011356045424181671,tie,2000,0.05,0.02
31014,1.0,False,0.009187279151943506,0.0035335689045936647,0.015547703180212036,tie,2000,0.05,0.02
31015,1.0,False,0.005517826825127359,0.002546689303904892,0.008913412563667289,tie,2000,0.05,0.02
31016,1.0,False,0.0029354207436399493,0.0,0.005870841487279899,tie,2000,0.05,0.02
