seed,target_deterministic_share,lexical_variation,status,realized_det_pct,n_train_lines,n_test_lines
31005,0.75,True,ok,0.7896138482023968,7468,1886
31006,0.75,True,ok,0.7977386934673367,9347,2353
31007,0.75,True,ok,0.7910085054678008,7550,2097
31008,0.75,True,ok,0.807843137254902,5923,1650
31009,0.75,True,ok,0.7843406593406593,8475,2263
31010,0.75,True,ok,0.7941176470588235,5871,1609
31011,0.75,True,ok,0.7982989064398542,7763,1978
31012,0.75,True,ok,0.8022959183673469,5297,1370
31013,0.75,True,ok,0.8022670025188917,8060,2204
31014,0.75,True,ok,0.8076923076923077,5865,1561
31015,0.75,True,ok,0.7972027972027972,7110,1814
31016,0.75,True,ok,0.7897310513447433,8530,2364
31017,0.75,True,ok,0.8056580565805658,10096,2668
31018,0.75,True,ok,0.7731673582295989,9483,2397
31019,0.75,True,ok,0.7973333333333333,8185,2044
31020,0.75,True,ok,0.7818411097099621,5720,1504
31001,1.0,False,ok,0.9111389236545682,5328,1362
31002,1.0,False,ok,0.901219512195122,6758,1753
31003,1.0,False,ok,0.9140811455847255,6177,1688
31004,1.0,False,ok,0.9201474201474201,5517,1333
31005,1.0,False,ok,0.9052774018944519,5048,1332
31006,1.0,False,ok,0.9244114002478315,6511,1764
31007,1.0,False,ok,0.8935361216730038,6314,1719
31008,1.0,False,ok,0.9033112582781457,6122,1650
31009,1.0,False,ok,0.9164383561643835,4908,1383
31010,1.0,False,ok,0.9009779951100244,7084,1889
31011,1.0,False,ok,0.9145408163265306,8267,2108
31012,1.0,False,ok,0.8940568475452196,5427,1384
31013,1.0,False,ok,0.9026217228464419,5721,1497
31014,1.0,False,ok,0.9024707412223667,5613,1415
31015,1.0,False,ok,0.9099876695437731,8848,2356
31016,1.0,False,ok,0.9257592800899888,7513,2044
31017,1.0,False,ok,0.900497512437811,9263,2350
31018,1.0,False,ok,0.9121540312876053,5693,1434
31019,1.0,False,ok,0.9092071611253197,5882,1506
31020,1.0,False,ok,0.9027595269382391,6903,1691
31001,1.0,True,ok,0.9111389236545682,5328,1362
31002,1.0,True,ok,0.901219512195122,6758,1753
31003,1.0,True,ok,0.9140811455847255,6177,1688
31004,1.0,True,ok,0.9201474201474201,5517,1333
31005,1.0,True,ok,0.9052774018944519,5048,1332
31006,1.0,True,ok,0.9244114002478315,6511,1764
31007,1.0,True,ok,0.8935361216730038,6314,1719
31008,1.0,True,ok,0.9033112582781457,6122,1650
31009,1.0,True,ok,0.9164383561643835,4908,1383
31010,1.0,True,ok,0.9009779951100244,7084,1889
31011,1.0,True,ok,0.9145408163265306,8267,2108
31012,1.0,True,ok,0.8940568475452196,5427,1384
31013,1.0,True,ok,0.9026217228464419,5721,1497
31014,1.0,True,ok,0.9024707412223667,5613,1415
31015,1.0,True,ok,0.9099876695437731,8848,2356
31016,1.0,True,ok,0.9257592800899888,7513,2044
31017,1.0,True,ok,0.900497512437811,9263,2350
31018,1.0,True,ok,0.9121540312876053,5693,1434
31019,1.0,True,ok,0.9092071611253197,5882,1506
31020,1.0,True,ok,0.9027595269382391,6903,1691
