target_deterministic_share,seed,lexical_variation,realized_det_pct,weighted_ads,unweighted_ads,cross_company_consistency,n_products_train,n_train_lines
0.75,30008,False,0.8154681139755766,0.8603603603603603,0.9358602235171786,0.7809320701420834,737,4662
0.75,30009,False,0.8015978695073236,0.871737089201878,0.9328235211573033,0.753011762703337,751,5325
0.75,30010,False,0.8016627078384798,0.8520130576713819,0.9314651900524501,0.724324978273828,842,5514
0.8,30001,False,0.8067114093959732,0.8659328762179719,0.9336566893619609,0.7307957574392472,745,5542
0.8,30002,False,0.8320707070707071,0.8832419863809998,0.9465835981960364,0.7583928040852064,792,6021
0.8,30003,False,0.8277571251548946,0.9042539352152985,0.9476226176780033,0.7914728483681635,807,7687
0.8,30004,False,0.8190709046454768,0.8916474843801381,0.9435915055132874,0.7725323196762588,818,6082
0.8,30005,False,0.8191082802547771,0.8698833300375717,0.9397236168795159,0.7275503382638906,785,5057
0.8,30006,False,0.8362183754993342,0.8914073768802803,0.9436744552156484,0.7612874845529065,751,4853
0.8,30007,False,0.7995139732685298,0.8231644260599793,0.9316396929558486,0.7253479751897959,823,8703
0.8,30008,False,0.8197596795727636,0.8855677655677656,0.940734466626762,0.7299643512511164,749,6825
0.8,30009,False,0.819371727748691,0.8820469798657719,0.9434993161148895,0.7691340623636306,764,5960
0.8,30010,False,0.805,0.8892219842969308,0.9388047123825269,0.7429528602209595,800,7005
0.85,30001,False,0.8395061728395061,0.8488469019171992,0.9449644748270241,0.7571313583054816,810,7198
0.85,30002,False,0.8372670807453416,0.8836016526570737,0.9471146234074188,0.7756772164767511,805,7019
0.85,30003,False,0.8638613861386139,0.8812917192855855,0.9550858211489222,0.7618031266027085,808,5543
0.85,30004,False,0.8438320209973753,0.9076423267326733,0.9482068118974785,0.7806824570997165,762,6464
0.85,30005,False,0.8495934959349594,0.8879230626965046,0.9500059416263751,0.7479657718835077,738,5407
0.85,30006,False,0.835234474017744,0.8671137265635692,0.946543860297571,0.7505837842657032,789,7307
0.85,30007,False,0.8387096774193549,0.8804945054945055,0.9455609111490189,0.7580381065910761,806,5824
0.85,30008,False,0.844,0.8800929512006197,0.9479218238334332,0.7606697081753632,750,6455
0.85,30009,False,0.8317307692307693,0.8840558412931668,0.9417242082408723,0.762105368818836,832,6805
0.85,30010,False,0.8072289156626506,0.8745942251836665,0.9358014204063149,0.7294076726220426,747,5853
0.9,30001,False,0.8636942675159236,0.880450522928399,0.9537131090350968,0.7525293932334324,785,6215
0.9,30002,False,0.8721088435374149,0.9131228326336923,0.9611205534129678,0.8095553361797172,735,5479
0.9,30003,False,0.8782051282051282,0.9064020965930363,0.9589288926704989,0.7699969173285206,780,5342
0.9,30004,False,0.8573281452658884,0.893684917702385,0.9536630939999311,0.7532184696362113,771,5954
0.9,30005,False,0.881491344873502,0.8749777382012467,0.95900505575097,0.7293872754950196,751,5615
0.9,30006,False,0.8876117496807152,0.9110889110889111,0.9626163662917765,0.7713915116014866,783,5005
0.9,30007,False,0.8505434782608695,0.8845540246555474,0.9540750737721398,0.7770297089850293,736,6895
0.9,30008,False,0.8759590792838875,0.9186991869918699,0.9615501513546612,0.789505271080801,782,7872
0.9,30009,False,0.8575096277278562,0.8706722349454399,0.9577607118670245,0.7983641898087805,779,7423
0.9,30010,False,0.8396349413298566,0.8696242029575363,0.9486860888857099,0.7646942374928505,767,7371
0.95,30001,False,0.8761290322580645,0.9004137115839244,0.9621556434146992,0.7762089913005514,775,6768
0.95,30002,False,0.8813559322033898,0.9123068726691529,0.9638989917701287,0.8075845340595765,767,9385
0.95,30003,False,0.9035460992907801,0.9224961137019765,0.9680648670481873,0.8019302960969104,705,4503
0.95,30004,False,0.896457765667575,0.9019424729174449,0.9672216952709504,0.7943979980513677,734,5354
0.95,30005,False,0.899874843554443,0.9192976232706633,0.9691252972396517,0.7838704420245214,799,5638
0.95,30006,False,0.8974358974358975,0.9235751295336787,0.9689749848240796,0.7969630257390743,780,6176
0.95,30007,False,0.8808933002481389,0.8888735314443676,0.9610805825265172,0.7589201815166751,806,7235
0.95,30008,False,0.8911392405063291,0.8813945339873861,0.9629935000604427,0.7425617026973568,790,5708
0.95,30009,False,0.8944020356234097,0.9265457926545793,0.9671972168799848,0.7909148447925967,786,6453
0.95,30010,False,0.8688725490196079,0.8898213643448027,0.957731768957353,0.7669203342622132,816,8341
0.99,30001,False,0.9040404040404041,0.9379754242246928,0.969121369508072,0.7974725466204406,792,6836
0.99,30002,False,0.9211229946524064,0.94199611147116,0.9743592542207629,0.8150205472527382,748,6172
0.99,30003,False,0.9111389236545682,0.9091590653504935,0.9728885221698395,0.7983310021240064,799,8003
0.99,30004,False,0.8969359331476323,0.9120062573328119,0.9648688902290277,0.7680670900133476,718,5114
0.99,30005,False,0.9020807833537332,0.9078873764683946,0.9676694678844225,0.7743976133976996,817,5363
0.99,30006,False,0.9093298291721419,0.8966741405082213,0.9716451354696082,0.8001729139564479,761,5352
0.99,30007,False,0.8954248366013072,0.9409206234142805,0.9685557672103209,0.7887469675927077,765,8277
0.99,30008,False,0.9126691266912669,0.944142231657158,0.9730200128752262,0.8039491993900179,813,7537
0.99,30009,False,0.9067484662576687,0.9127953429973747,0.9739940183930472,0.8092867233799063,815,8761
0.99,30010,False,0.9037037037037037,0.9067170048765141,0.972570892869785,0.8020246957590067,810,6357
1.0,30001,False,0.9111111111111111,0.9255018186716961,0.973203970813264,0.8031267717711555,810,7423
1.0,30002,False,0.8977900552486188,0.9324220254139391,0.9674365220900824,0.7915358011407122,724,5194
1.0,30003,False,0.9188144329896907,0.929297526930663,0.9758477843420655,0.8016462582814793,776,6591
1.0,30004,False,0.9115479115479116,0.9286894273127754,0.9723526447873907,0.7901334305038817,814,7264
1.0,30005,False,0.9146634615384616,0.9161971830985915,0.9710741946422162,0.7373323339296889,832,5680
1.0,30006,False,0.9010477299185099,0.9165668064709407,0.9697352327412162,0.7727802789165423,859,6676
1.0,30007,False,0.8947368421052632,0.8953871499176277,0.9676494840948506,0.7642891651593101,836,7284
1.0,30008,False,0.9105058365758755,0.9210566037735849,0.9730209308828556,0.7900254746805664,771,6625
1.0,30009,False,0.9116883116883117,0.9267948491797495,0.9719015450826156,0.7791949776264812,770,5669
1.0,30010,False,0.9045801526717557,0.900208261020479,0.9682495712013917,0.7782960978954824,786,5762
